POSTAL_CODE,CITY,PROVINCE_ABBR,TIME_ZONE,LATITUDE,LONGITUDE
A0A 0C2,RED HEAD COVE,NL,3,48.12831879,-52.89888
A0A 2G0,FERMEUSE,NL,3,46.983293,-52.912336
A0A 2L0,GRATES COVE,NL,3,47.590405,-53.289775
A0B 0A8,BRANCH,NL,3,47.3278176,-53.4505056
A0B 0B4,LONG HARBOUR,NL,3,47.3278176,-53.4505056
A0B 0B7,FAIR HAVEN,NL,3,47.3278176,-53.4505056
A0B 0E8,ISLINGTON,NL,3,47.3278176,-53.4505056
A0B 1J0,CAVENDISH,NL,3,47.715864,-53.493243
A0B 1Y0,HANTS HARBOUR,NL,3,48.007329,-53.245447
A0B 2G0,JERSEYSIDE,NL,3,47.255003,-53.962246
A0C 0A1,BUNYANS COVE,NL,3,48.318529,-54.0513815
A0C 0A9,SWEET BAY,NL,3,48.318529,-54.0513815
A0C 0C1,LITTLE CATALINA,NL,3,48.318529,-54.0513815
A0C 0C8,OPEN HALL,NL,3,48.421195,-53.581586
A0C 1L0,CHARLOTTETOWN,NL,3,48.438006,-54.013769
A0E 0B1,LAWN,NL,3,46.94100952,-55.54573059
A0E 0C5,CRESTON,NL,3,47.14239883,-55.20412827
A0E 1R0,FRENCHMANS COVE FB,NL,3,52.6246109,-59.6851387
A0E 2B0,HODGES COVE,NL,3,48.009585,-53.761216
A0E 2W0,SWIFT CURRENT,NL,3,47.885924,-54.21376
A0G 0A9,BIRCHY BAY,NL,3,49.0667089,-54.213784
A0G 0B4,LAURENCETON,NL,3,49.0667089,-54.213784
A0G 0E5,GANDER BAY SOUTH,NL,3,49.0667089,-54.213784
A0G 0G7,CARTERS COVE,NL,3,49.0667089,-54.213784
A0G 0J2,SALVAGE,NL,3,49.0667089,-54.213784
A0G 1A0,ASPEN COVE,NL,3,49.453552,-54.104467
A0G 1C0,BENTON,NL,3,48.890526,-54.417755
A0G 1H0,BRIDGEPORT,NL,3,49.576991,-54.894422
A0G 2A0,EMBREE,NL,3,49.313045,-55.036747
A0G 2C0,FREDERICKTON,NL,3,49.408854,-54.322096
A0G 2P0,HARE BAY BB,NL,3,48.849032,-54.009996
A0G 3C0,LOON BAY,NL,3,49.265608,-54.848347
A0G 3H0,MORETONS HARBOUR,NL,3,49.584258,-54.872718
A0G 4M0,TWILLINGATE,NL,3,49.614011,-54.706468
A0G 4N0,VICTORIA COVE,NL,3,49.34863,-54.515678
A0H 0A4,HARBOUR BRETON,NL,3,47.46949005,-55.82149887
A0H 0B2,BISHOPS FALLS,NL,3,49.02671051,-55.45656967
A0H 0B5,HEAD BAY D'ESPOIR,NL,3,47.90156174,-55.7741394
A0H 0B8,GAULTOIS,NL,3,47.6404881,-55.9540382
A0H 1W0,MILLTOWN,NL,3,47.871219,-55.762123
A0J 0A4,LITTLE BAY NDB,NL,3,47.624453,-56.022675
A0J 0B1,LITTLE BAY ISLANDS,NL,3,49.5078631,-56.1676034
A0J 1A0,BEAUMONT,NL,3,49.595933,-55.673872
A0J 1E0,HARRYS HARBOUR,NL,3,49.699926,-55.926956
A0J 1M0,PILLEYS ISLAND,NL,3,49.506402,-55.740027
A0K 0A3,HAMPDEN,NL,3,49.54304886,-56.85863876
A0K 0A5,RALEIGH,NL,3,51.54518127,-55.72018814
A0K 0C4,COW HEAD,NL,3,49.92786026,-57.7521019
A0K 0C5,SEAL COVE WB,NL,3,49.934677,-56.3915331
A0K 0C7,DANIELS HARBOUR,NL,3,50.23006821,-57.58906937
A0K 0G2,BONNE BAY,NL,3,49.50320816,-57.91611862
A0K 0G6,NORRIS POINT,NL,3,49.53170013,-57.87530136
A0K 0J8,RIVER OF PONDS,NL,3,50.536129,-57.37112045
A0K 0K1,RED BAY,NL,3,50.735379,-56.60979
A0K 1M0,BLACK DUCK COVE,NL,3,51.203199,-56.785857
A0K 1P0,BONNE BAY,NL,3,49.5533333,-57.9313889
A0K 1S0,BURLINGTON,NL,3,49.738271,-55.982866
A0K 2M0,FLEUR DE LYS,NL,3,50.109547,-56.170312
A0K 3A0,HARBOUR ROUND,NL,3,49.877176,-55.787605
A0K 3B0,HAWKES BAY,NL,3,50.590838,-57.214403
A0K 3S0,MINGS BIGHT,NL,3,49.97341,-56.052014
A0K 4C0,PORT AU CHOIX,NL,3,50.70271301,-57.36331177
A0K 4G0,PORTLAND CREEK,NL,3,50.162999,-57.617914
A0K 4Z0,SALLYS COVE,NL,3,49.720266,-57.931317
A0L 0A3,COXS COVE,NL,3,48.9230008,-57.7377986
A0L 1J0,MOUNT MORIAH,NL,3,48.955944,-58.047382
A0M 1C0,CHANNEL-PORT-AUX-BASQUES,NL,3,47.718894,-59.292901
A0M 1G0,GRAND BRUIT,NL,3,47.669508,-58.233826
A0M 1K0,LA POILE,NL,3,47.676757,-58.397635
A0N 0A4,STEPHENVILLE CROSSING,NL,3,48.50119019,-58.44021988
A0N 0B1,ST FINTANS,NL,3,48.18486023,-58.83974075
A0N 0C2,GRAND BAY EAST,NL,3,47.58638,-59.170681
A0N 1C0,CAPE RAY,NL,3,47.644661,-59.260096
A0N 1J0,DOYLES,NL,3,47.77421,-59.26419
A0N 1S0,NOELS POND,NL,3,48.559214,-58.48614
A0N 1T1,CAPE ST GEORGE,NL,3,48.49484253,-59.17922974
A0N 1T1,PORT AU PORT,NL,3,48.49484253,-59.17922974
A0N 1Y0,ST FINTANS,NL,3,48.166321,-58.901869
A0N 2C0,STEPHENVILLE CROSSING,NL,3,48.571494,-58.380833
A0P 0A5,HAPPY VALLEY-GOOSE BAY,NL,4,53.3016826,-60.3260842
A1A 0A9,ST. JOHN'S,NL,3,47.6037195,-52.7469399
A1A 0B2,ST. JOHN'S,NL,3,47.598688,-52.725521
A1A 0B4,ST. JOHN'S,NL,3,47.598688,-52.725521
A1A 0B9,ST. JOHN'S,NL,3,47.550575,-52.746072
A1A 0G8,ST. JOHN'S,NL,3,47.606785,-52.713744
A1A 0H2,ST. JOHN'S,NL,3,47.606785,-52.713744
A1A 0J1,ST. JOHN'S,NL,3,47.6232432,-52.7074317
A1A 0L5,ST. JOHN'S,NL,3,47.6019265,-52.7378922
A1A 0M2,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0M4,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0N1,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0P4,ST. JOHN'S,NL,3,47.5607605,-52.71224976
A1A 0P8,ST. JOHN'S,NL,3,47.595693,-52.70948
A1A 0R6,ST. JOHN'S,NL,3,47.581312,-52.680709
A1A 0S2,ST. JOHN'S,NL,3,47.614338,-52.709159
A1A 0S4,ST. JOHN'S,NL,3,47.614338,-52.709159
A1A 0S5,ST. JOHN'S,NL,3,47.6135047,-52.7516323
A1A 0S8,ST. JOHN'S,NL,3,47.6121998,-52.7500676
A1A 1A4,ST. JOHN'S,NL,3,47.5706266,-52.693637
A0A 0B4,COLLIERS RIVERHEAD,NL,3,47.45837021,-53.23205185
A0A 0B7,WESTERN BAY,NL,3,47.88293839,-53.08591843
A0A 0C5,BAY ROBERTS,NL,3,47.58398056,-53.2815094
A0A 0C8,MAKINSONS,NL,3,47.49158096,-53.31074905
A0A 0E3,RENEWS,NL,3,46.93610001,-52.94820023
A0A 0E4,VICTORIA CB,NL,3,47.767439,-53.241195
A0A 1A0,AQUAFORTE,NL,3,47.007347,-52.958921
A0A 1B0,AVONDALE,NL,3,47.36228,-53.293993
A0A 2V0,LANCE COVE,NL,3,47.64484,-52.94659
A0A 3G0,OLD PERLICAN,NL,3,48.066189,-53.00389
A0A 4A0,TORS COVE,NL,3,47.201719,-53.006169
A0B 0C7,MOUNT CARMEL,NL,3,47.3278176,-53.4505056
A0B 0E5,WHITEWAY,NL,3,47.3278176,-53.4505056
A0B 0E6,DUNVILLE,NL,3,47.3278176,-53.4505056
A0B 1H0,BROWNSDALE,NL,3,48.033106,-53.11346
A0B 2C0,HOPEALL,NL,3,47.606498,-53.52866
A0B 2J0,LONG HARBOUR,NL,3,47.43559,-53.80963
A0B 2M0,MOUNT CARMEL,NL,3,47.151609,-53.46247
A0B 2T0,NORMANS COVE,NL,3,47.494787,-53.683435
A0B 3A0,ST JOSEPHS SAL,NL,3,47.36399078,-53.85771942
A0B 3E0,SHIP HARBOUR PB,NL,3,47.365647,-53.908096
A0B 3K0,WHITBOURNE,NL,3,47.359636,-53.415813
A0C 0A6,BONAVISTA,NL,3,48.6533449,-53.1118249
A0C 0A8,KNIGHTS COVE,NL,3,48.318529,-54.0513815
A0C 0C2,KINGS COVE,NL,3,48.318529,-54.0513815
A0C 1Y0,MELROSE,NL,3,48.470725,-53.076668
A0C 2A0,NEWMANS COVE,NL,3,48.592476,-53.173143
A0C 2C0,PLATE COVE EAST,NL,3,48.518549,-53.490918
A0C 2R0,TICKLE COVE,NL,3,48.57177,-53.472292
A0E 0A4,GARNISH,NL,3,47.23366165,-55.36135864
A0E 0A5,LAMALINE,NL,3,46.86920166,-55.78717041
A0E 0A6,MARYSTOWN,NL,3,47.16373825,-55.1570015
A0E 0B2,RED HARBOUR PB,NL,3,47.293393,-54.997809
A0E 0C7,FORTUNE,NL,3,47.07413101,-55.82595062
A0E 0C9,RUSHOON,NL,3,47.36729813,-54.91619873
A0E 1T0,GARNISH,NL,3,47.185766,-55.358539
A0E 1W0,GRAND BANK,NL,3,47.09245682,-55.75330353
A0E 2N0,NORTH HARBOUR PB,NL,3,52.6246109,-59.6851387
A0E 2S0,RUSHOON,NL,3,47.349521,-54.906565
A0E 2T0,ST BERNARDS-JACQUES FONTAINE,NL,3,47.527118,-54.943277
A0G 0A1,ASPEN COVE,NL,3,49.0667089,-54.213784
A0G 0B8,JOE BATTS ARM,NL,3,49.0667089,-54.213784
A0G 0C6,ST CHADS,NL,3,49.0667089,-54.213784
A0G 0C9,FOGO,NL,3,49.0667089,-54.213784
A0G 0E9,SANDRINGHAM,NL,3,49.0667089,-54.213784
A0G 0H2,GAMBO SOUTH,NL,3,49.0667089,-54.213784
A0G 1L0,CAMPBELLTON,NL,3,49.285183,-54.977629
A0G 2J0,BAYTONA,NL,3,49.330042,-54.783349
A0G 2N0,GREENSPOND,NL,3,49.075775,-53.580822
A0G 2W0,ISLAND HARBOUR,NL,3,49.618164,-54.298752
A0G 3X0,SALVAGE,NL,3,48.677871,-53.664574
A0G 3Y0,SANDRINGHAM,NL,3,48.653829,-53.825166
A0G 3Z0,SELDOM,NL,3,49.602117,-54.193073
A0G 4C0,STONEVILLE,NL,3,49.51235,-54.532869
A0G 4K0,TRAYTOWN,NL,3,48.681549,-53.928638
A0H 1B0,BELLEORAM,NL,3,47.522173,-55.414707
A0H 1R0,HEAD BAY D'ESPOIR,NL,3,47.944228,-55.748817
A0H 1S0,HERMITAGE,NL,3,47.558341,-55.927895
A0H 2A0,POINT OF BAY,NL,3,49.260256,-55.273861
A0H 2B0,POOLS COVE,NL,3,47.677291,-55.42759
A0H 2E0,ST ALBANS,NL,3,47.85774,-55.83966
A0J 0A3,SOUTH BROOK GB,NL,3,49.5078631,-56.1676034
A0J 0A5,KINGS POINT,NL,3,49.5078631,-56.1676034
A0J 0A6,SPRINGDALE,NL,3,49.5078631,-56.1676034
A0J 1B0,BRIGHTON,NL,3,49.53182,-55.651708
A0J 1G0,JACKSONS COVE,NL,3,49.70567,-55.912102
A0J 1P0,RATTLING BROOK,NL,3,49.53401947,-56.19159317
A0K 0A2,FLOWERS COVE,NL,3,51.29753113,-56.72975922
A0K 0B2,FLEUR DE LYS,NL,3,50.11991882,-56.13504028
A0K 0G9,COOKS HARBOUR,NL,3,51.60321045,-55.87276077
A0K 0K3,WEST ST MODESTE,NL,3,50.735379,-56.60979
A0K 1J0,BIDE ARM,NL,3,50.818263,-56.12141
A0K 1R0,BRENTS COVE,NL,3,49.936189,-55.712789
A0K 2A0,COW HEAD,NL,3,49.91358566,-57.79323959
A0K 2N0,FLOWERS COVE,NL,3,51.29753113,-56.72975922
A0K 2X0,ST LUNAIRE-GRIQUET,NL,3,51.50525284,-55.47466278
A0K 4A0,PLUM POINT,NL,3,51.057572,-56.899953
A0K 4H0,PORT SAUNDERS,NL,3,50.632391,-57.270619
A0K 4W0,ST LEWIS,NL,3,52.365647,-55.673547
A0K 4Y0,ST PAULS,NL,3,49.850461,-57.800951
A0K 5C0,SANDY COVE,NL,3,48.64057922,-53.73625183
A0K 5R0,WESTPORT,NL,3,49.783146,-56.637537
A0L 0A5,FRENCHMANS COVE BOI,NL,3,48.9230008,-57.7377986
A0L 1A0,BENOITS COVE,NL,3,48.993375,-58.100882
A0L 1G0,GALLANTS,NL,3,48.708402,-58.245955
A0M 1P0,ROSE BLANCHE,NL,3,47.611472,-58.722391
A0N 0A6,FRANCOIS,NL,3,47.58527374,-56.75337601
A0N 0B6,HEATHERTON,NL,3,48.27991867,-58.75965881
A0N 1V0,ROBINSONS,NL,3,48.270504,-58.760509
A0N 2J0,RAMEA,NL,3,47.521335,-57.392671
A0N 2K0,FRANCOIS,NL,3,47.577813,-56.73169
A0P 0A6,NORTH WEST RIVER,NL,4,53.525511,-60.14297
A0P 0B1,MUD LAKE,NL,4,54.215886,-60.249066
A0P 1N0,POSTVILLE,NL,4,54.904042,-59.766419
A1A 0A6,ST. JOHN'S,NL,3,47.5579963,-52.7219261
A1A 0E6,ST. JOHN'S,NL,3,47.606785,-52.713744
A1A 0E8,ST. JOHN'S,NL,3,47.598597,-52.729485
A1A 0G1,ST. JOHN'S,NL,3,47.606785,-52.713744
A1A 0H8,ST. JOHN'S,NL,3,47.606785,-52.713744
A1A 0J6,ST. JOHN'S,NL,3,47.5983576,-52.6901987
A1A 0J7,ST. JOHN'S,NL,3,47.5983576,-52.6901987
A1A 1B5,ST. JOHN'S,NL,3,47.5714995,-52.6956089
A1A 1B7,ST. JOHN'S,NL,3,47.5720066,-52.6949756
A1A 1C6,ST. JOHN'S,NL,3,47.5740376,-52.6973929
A1A 1C7,ST. JOHN'S,NL,3,47.5739518,-52.6965044
A1A 1E1,ST. JOHN'S,NL,3,47.5747748,-52.6983959
A1A 1E5,ST. JOHN'S,NL,3,47.578477,-52.689779
A1A 1G8,ST. JOHN'S,NL,3,47.5816381,-52.6792595
A1A 1J1,ST. JOHN'S,NL,3,47.5818709,-52.704049
A1A 1J4,ST. JOHN'S,NL,3,47.5865415,-52.7017923
A1A 1J6,ST. JOHN'S,NL,3,47.589903,-52.701944
A1A 1L4,ST. JOHN'S,NL,3,47.581047,-52.701641
A1A 1L9,ST. JOHN'S,NL,3,47.582703,-52.699575
A1A 1M2,ST. JOHN'S,NL,3,47.5818628,-52.7000397
A1A 1M6,ST. JOHN'S,NL,3,47.5813394,-52.7013982
A1A 1R3,ST. JOHN'S,NL,3,47.586863,-52.685189
A1A 1R5,ST. JOHN'S,NL,3,47.5884023,-52.6855868
A1A 1R7,ST. JOHN'S,NL,3,47.5887346,-52.688664
A1A 1S1,ST. JOHN'S,NL,3,47.58609,-52.690694
A1A 1S4,ST. JOHN'S,NL,3,47.5864782,-52.6948621
A1A 1S5,ST. JOHN'S,NL,3,47.5881192,-52.6914025
A1A 1V6,ST. JOHN'S,NL,3,47.583059,-52.7071081
A1A 1X5,ST. JOHN'S,NL,3,47.5859212,-52.7104686
A1A 1Y5,ST. JOHN'S,NL,3,47.5846719,-52.7047521
A1A 2A5,ST. JOHN'S,NL,3,47.589867,-52.701977
